stock_name,buy_quantity,buy_price_per_stock,buy_date,sell_quantity,sell_price_per_stock,sell_date
RELIANCE,10,2500.50,2024-01-15,5,2650.75,2024-02-20
TCS,25,3200.00,2024-01-10,0,0,
HDFC,15,1650.25,2024-01-20,15,1725.50,2024-03-15
INFOSYS,20,1450.00,2024-02-05,10,1520.75,2024-03-10
WIPRO,30,420.50,2024-01-25,0,0,
ITC,50,380.25,2024-02-10,25,395.60,2024-03-05
BAJAJ-AUTO,8,4250.00,2024-01-18,8,4450.25,2024-02-28
MARUTI,12,9850.75,2024-02-01,0,0,
BHARTI-AIRTEL,35,850.50,2024-01-30,20,875.25,2024-03-12
SBI,40,550.25,2024-02-15,0,0,